id,city,from_name,from_lat,from_lng,to_name,to_lat,to_lng,detour_case
S01,seoul,명동역,37.5609,126.9863,동대문디자인플라자,37.5665,127.0092,
S02,seoul,명동역,37.5609,126.9863,경복궁,37.5796,126.9770,
S03,seoul,경복궁,37.5796,126.9770,북촌한옥마을,37.5826,126.9831,
S04,seoul,북촌한옥마을,37.5826,126.9831,인사동 쌈지길,37.5743,126.9853,
S05,seoul,인사동 쌈지길,37.5743,126.9853,광장시장,37.5700,126.9996,
S06,seoul,광장시장,37.5700,126.9996,동대문디자인플라자,37.5665,127.0092,
S07,seoul,서울역,37.5547,126.9707,남대문시장,37.5592,126.9773,
S08,seoul,남대문시장,37.5592,126.9773,명동역,37.5609,126.9863,
S09,seoul,홍대입구역,37.5572,126.9245,연남동 경의선숲길,37.5625,126.9215,
S10,seoul,홍대입구역,37.5572,126.9245,망원시장,37.5560,126.9060,
S11,seoul,합정역,37.5496,126.9139,망원시장,37.5560,126.9060,
S12,seoul,성수역,37.5446,127.0557,서울숲,37.5444,127.0374,
S13,seoul,성수역,37.5446,127.0557,건대입구역,37.5404,127.0701,
S14,seoul,강남역,37.4979,127.0276,가로수길,37.5210,127.0230,
S15,seoul,가로수길,37.5210,127.0230,압구정로데오,37.5273,127.0403,
S16,seoul,코엑스,37.5115,127.0595,롯데월드타워,37.5126,127.1025,
S17,seoul,명동역,37.5609,126.9863,N서울타워,37.5512,126.9882,
S18,seoul,여의도 IFC몰,37.5251,126.9255,여의도한강공원,37.5284,126.9335,
S19,seoul,서울역,37.5547,126.9707,홍대입구역,37.5572,126.9245,
S20,seoul,명동역,37.5609,126.9863,성수역,37.5446,127.0557,
S21,seoul,서울숲,37.5444,127.0374,압구정로데오,37.5273,127.0403,river
S22,seoul,여의도 IFC몰,37.5251,126.9255,마포역,37.5395,126.9458,river
S23,seoul,N서울타워,37.5512,126.9882,이태원역,37.5345,126.9946,hill
S24,seoul,건대입구역,37.5404,127.0701,잠실역,37.5133,127.1001,river
S25,seoul,서울역,37.5547,126.9707,서계동,37.5536,126.9665,railway
H01,hiroshima,広島駅,34.3976,132.4754,原爆ドーム,34.3955,132.4536,
H02,hiroshima,広島駅,34.3976,132.4754,平和記念資料館,34.3916,132.4527,
H03,hiroshima,原爆ドーム,34.3955,132.4536,平和記念資料館,34.3916,132.4527,
H04,hiroshima,平和記念資料館,34.3916,132.4527,本通,34.3930,132.4590,
H05,hiroshima,本通,34.3930,132.4590,お好み村,34.3918,132.4618,
H06,hiroshima,お好み村,34.3918,132.4618,八丁堀,34.3940,132.4640,
H07,hiroshima,八丁堀,34.3940,132.4640,縮景園,34.4003,132.4675,
H08,hiroshima,縮景園,34.4003,132.4675,広島城,34.4027,132.4593,
H09,hiroshima,広島城,34.4027,132.4593,原爆ドーム,34.3955,132.4536,
H10,hiroshima,広島駅,34.3976,132.4754,マツダスタジアム,34.3919,132.4845,
H11,hiroshima,広島駅,34.3976,132.4754,縮景園,34.4003,132.4675,
H12,hiroshima,横川駅,34.4102,132.4500,原爆ドーム,34.3955,132.4536,
H13,hiroshima,紙屋町,34.3955,132.4570,広島港,34.3521,132.4679,
H14,hiroshima,広島駅,34.3976,132.4754,広島港,34.3521,132.4679,
H15,hiroshima,平和記念資料館,34.3916,132.4527,広島港,34.3521,132.4679,
H16,hiroshima,広島駅,34.3976,132.4754,宮島口駅,34.3120,132.3030,
H17,hiroshima,平和記念資料館,34.3916,132.4527,宮島口駅,34.3120,132.3030,
H18,hiroshima,西広島駅,34.3958,132.4178,平和記念資料館,34.3916,132.4527,
H19,hiroshima,広島駅,34.3976,132.4754,比治山公園,34.3860,132.4800,
H20,hiroshima,八丁堀,34.3940,132.4640,横川駅,34.4102,132.4500,
H21,hiroshima,宮島口駅,34.3120,132.3030,厳島神社,34.2960,132.3198,sea
H22,hiroshima,平和記念資料館,34.3916,132.4527,観音町,34.3890,132.4390,river
H23,hiroshima,二葉の里,34.4010,132.4790,猿猴橋町,34.3955,132.4790,railway
H24,hiroshima,広島港,34.3521,132.4679,似島港,34.3290,132.4790,sea
H25,hiroshima,西広島駅,34.3958,132.4178,天満町,34.3935,132.4400,river
