id,city,lang,query,expect,result_count,top_name,top_address,top_lat,top_lng,top_distance_from_center_m,top5_names,latency_ms,error
P01,seoul,ko,올리브영 명동타운,Olive Young 명동 타운점（連鎖分店）,0,,,,,,,,MKErrorDomain 4 -8
P02,seoul,en,Olive Young Myeongdong Town,同 P01,1,明洞,南韓首爾特別市明洞,37.56268,126.98474,1069,明洞,184,
P03,seoul,ja,オリーブヤング 明洞タウン,同 P01,0,,,,,,,,MKErrorDomain 4 -8
P04,seoul,zh,Olive Young 明洞,同 P01,3,Olive Young,대한민국 서울특별시 이태원로,37.53463,126.99388,2176,Olive Young / 올리브영 / 올리브영,324,
P05,seoul,ko,광장시장,광장시장,1,廣藏市場,03195 대한민국 서울특별시 종로구 창경궁로 88,37.57006,126.99974,1979,廣藏市場,153,
P06,seoul,en,Gwangjang Market,광장시장,1,廣藏市場,03195 대한민국 서울특별시 종로구 창경궁로 88,37.57006,126.99974,1979,廣藏市場,166,
P07,seoul,zh,广藏市场,광장시장,1,廣藏市場,03195 대한민국 서울특별시 종로구 창경궁로 88,37.57006,126.99974,1979,廣藏市場,160,
P08,seoul,ko,다이소 명동역점,다이소 명동역점（連鎖分店）,1,다이소,대한민국 서울특별시 명동 명동길,37.56391,126.98461,1198,다이소,163,
P09,seoul,ko,무신사 스탠다드 성수,무신사 스탠다드 성수점,0,,,,,,,,MKErrorDomain 4 -8
P10,seoul,en,Musinsa Standard Seongsu,同 P09,0,,,,,,,,MKErrorDomain 4 -8
P11,seoul,ko,어니언 성수,카페 어니언 성수,2,어니언,04797 대한민국 서울특별시 성동구 아차산로9길 8,37.54469,127.05813,6108,어니언 / 어니언,159,
P12,seoul,en,Cafe Onion Seongsu,同 P11,1,어니언,04797 대한민국 서울특별시 성동구 아차산로9길 8,37.54469,127.05813,6108,어니언,166,
P13,seoul,ko,스타벅스 명동,多間分店，需可區分,2,스타벅스 새명동점,대한민국 서울특별시 명동 퇴계로,37.56141,126.98675,871,스타벅스 새명동점 / 스타벅스 명동미래점,161,
P14,seoul,zh,明洞餃子,명동교자 본점,1,명동교자 본점,대한민국 서울특별시 명동 명동10길,37.56254,126.98548,1028,명동교자 본점,154,
P15,seoul,ko,명동교자,명동교자 본점,1,명동교자 본점,대한민국 서울특별시 명동 명동10길,37.56254,126.98548,1028,명동교자 본점,156,
P16,hiroshima,ja,ReFa 広島,ReFa 取扱店（連鎖）,2,福屋八丁堀總店 ReFa,"〒730-0021, 広島県広島市中区, 胡町6-26",34.39348,132.46262,1223,福屋八丁堀總店 ReFa / Refa ミナモア,177,
P17,hiroshima,ja,ユニクロ 広島,多間分店，需可區分,7,ユニクロ 紙屋町サンモール店,"〒730-0031, 広島県広島市中区, 紙屋町2丁目2番18号",34.39414,132.45647,751,ユニクロ 紙屋町サンモール店 / 優衣庫廣島八木店 / ユニクロ / 優衣庫You Me Town廣島店 / 優衣庫Minamoa廣島店,567,
P18,hiroshima,en,UNIQLO Hiroshima,同 P17,12,優衣庫永旺夢樂城廣島祗園店,"〒731-0138, 広島県広島市安佐南区, 祇園3丁目2-1",34.44377,132.46148,6056,優衣庫永旺夢樂城廣島祗園店 / 優衣庫廣島八木店 / ユニクロ 紙屋町サンモール店 / 優衣庫Minamoa廣島店 / ユニクロ,283,
P19,hiroshima,zh,優衣庫 廣島,同 P17,5,優衣庫廣島Alpark店,"〒733-0834, 広島県広島市西区, 草津新町2丁目26",34.37377,132.39450,5412,優衣庫廣島Alpark店 / 優衣庫You Me Town廣島店 / 優衣庫Minamoa廣島店 / 優衣庫東廣島店 / 優衣庫廣島八木店,188,
P20,hiroshima,ja,お好み村,お好み村,1,お好み村,"〒730-0034, 広島県広島市中区, 新天地5-13",34.39147,132.46188,1104,お好み村,185,
P21,hiroshima,en,Okonomimura,お好み村,1,お好み村,"〒730-0034, 広島県広島市中区, 新天地5-13",34.39147,132.46188,1104,お好み村,177,
P22,hiroshima,ja,広島城,広島城,5,二No丸跡,"〒730-0011, 広島県広島市中区, 基町21-1",34.39980,132.45939,1388,二No丸跡 / 広島城 裏御門跡 / 広島城 射楽 / 廣島城跡 / 廣島城跡,262,
P23,hiroshima,en,Hiroshima Castle,広島城,3,広島城三の丸,"〒730-0011, 広島県広島市中区, 基町21-7-3",34.39996,132.45813,1333,広島城三の丸 / 廣島城跡 / 廣島城跡,171,
P24,hiroshima,ja,原爆ドーム,原爆ドーム,1,原子弹爆炸圆顶屋,"〒730-0051, 広島県広島市中区, 大手町1丁目10",34.39548,132.45360,691,原子弹爆炸圆顶屋,531,
P25,hiroshima,zh,原爆圓頂館,原爆ドーム,1,原子弹爆炸圆顶屋,"〒730-0051, 広島県広島市中区, 大手町1丁目10",34.39548,132.45360,691,原子弹爆炸圆顶屋,199,
P26,hiroshima,ja,ドン・キホーテ 広島八丁堀,ドン・キホーテ 広島八丁堀店,1,唐吉訶德廣島八丁堀店,"〒730-0034, 広島県広島市中区, 新天地5-3",34.39123,132.46255,1162,唐吉訶德廣島八丁堀店,262,
P27,hiroshima,en,Don Quijote Hiroshima,同 P26（或多間）,4,唐吉訶德廣島祗園店,〒731-0113 広島県広島市安佐南区 西原9丁目15-23,34.44611,132.46960,6479,唐吉訶德廣島祗園店 / 唐吉訶德八丁堀西店 / 唐吉訶德廣島八丁堀店 / MEGA唐吉訶德宇品店,215,
P28,hiroshima,ja,無印良品 広島,多間分店,2,無印良品廣島Parco,"〒730-0034, 広島県広島市中区, 新天地10-1",34.39213,132.46265,1187,無印良品廣島Parco / 無印良品 広島アルパーク,250,
P29,hiroshima,ja,にしき堂 光町本店,にしき堂 本店,2,錦戶總店,"〒732-0052, 広島県広島市東区, 光町1丁目13-23",34.39914,132.47912,2863,錦戶總店 / にしき堂 広島駅エキエ1号店・2号店,195,
P30,hiroshima,en,Nishikido Hiroshima,にしき堂,1,崇光 廣島店 本館 大食品館艾芙瑞迪 B1F 錦堂,"〒730-0011, 広島県広島市中区, 基町6-27",34.39598,132.45714,933,崇光 廣島店 本館 大食品館艾芙瑞迪 B1F 錦堂,207,
